Product Name,Product Price,Product Description,Product Reviews
"SAMSUNG Galaxy A56 5G (Awesome Olive, 256 GB)","₹41,999",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 5MP | 12MP Front Camera5000 mAh BatterySamsung Exynos 1580 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,N/A
"SAMSUNG Galaxy A56 5G (Awesome Graphite, 256 GB)","₹44,999",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 5MP | 12MP Front Camera5000 mAh BatterySamsung Exynos 1580 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,N/A
"SAMSUNG Galaxy A56 5G (Awesome Graphite, 256 GB)",N/A,12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 5MP | 12MP Front Camera5000 mAh BatterySamsung Exynos 1580 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,N/A
"Apple iPhone 8 Plus (Space Grey, 64 GB)","₹49,900","64 GB ROM13.97 cm (5.5 inch) Retina HD Display12MP + 12MP | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessorBrand Warranty of 1 Year",4.6
"Apple iPhone 13 (Starlight, 128 GB)","₹44,999",128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip Processor1 year warranty for phone and 1 year warranty for in Box Accessories.,4.6
"Google Pixel 8a (Porcelain, 128 GB)","₹37,999",8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP + 13MP | 13MP Front Camera4404 mAh BatteryTensor G3 Processor1 Year Domestic Warranty,4.3
"Google Pixel 8a (Obsidian, 128 GB)","₹37,999",8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP + 13MP | 13MP Front Camera4404 mAh BatteryTensor G3 Processor1 Year Domestic Warranty,4.3
"Google Pixel 8a (Aloe, 128 GB)","₹37,999",8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP + 13MP | 13MP Front Camera4404 mAh BatteryTensor G3 Processor1 Year Domestic Warranty,4.3
"SAMSUNG Galaxy S24 FE 5G (Graphite, 128 GB)","₹43,480",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.5
"vivo V50 5G (Starry Night, 512 GB)","₹40,999",12 GB RAM | 512 GB ROM17.2 cm (6.77 inch) Display50MP + 50MP | 50MP Front Camera6000 mAh Battery7 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories,4.5
"SAMSUNG Galaxy S24 FE 5G (Mint, 128 GB)","₹44,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.5
"vivo V50 5G (Titanium Grey, 512 GB)","₹40,999",12 GB RAM | 512 GB ROM17.2 cm (6.77 inch) Display50MP + 50MP | 50MP Front Camera6000 mAh Battery7 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months Warranty for Inbox Accessories,4.5
"SAMSUNG Galaxy S24 FE 5G (Blue, 128 GB)","₹44,999",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.5
"Google Pixel 8a (Bay, 128 GB)","₹37,999",8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display64MP + 13MP | 13MP Front Camera4404 mAh BatteryTensor G3 Processor1 Year Domestic Warranty,4.3
"OnePlus 13R 5G (Nebula Noir, 256 GB)","₹41,985",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera6000 mAh Battery1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,4.5
